PID,FAILURE,DAY0SMART0,DAY0SMART1,DAY0SMART2,DAY0SMART3,DAY0SMART4,DAY0SMART5,DAY0SMART6,DAY0SMART7,DAY0SMART8,DAY0SMART9,DAY0SMART10,DAY1SMART0,DAY1SMART1,DAY1SMART2,DAY1SMART3,DAY1SMART4,DAY1SMART5,DAY1SMART6,DAY1SMART7,DAY1SMART8,DAY1SMART9,DAY1SMART10,DAY2SMART0,DAY2SMART1,DAY2SMART2,DAY2SMART3,DAY2SMART4,DAY2SMART5,DAY2SMART6,DAY2SMART7,DAY2SMART8,DAY2SMART9,DAY2SMART10,DAY3SMART0,DAY3SMART1,DAY3SMART2,DAY3SMART3,DAY3SMART4,DAY3SMART5,DAY3SMART6,DAY3SMART7,DAY3SMART8,DAY3SMART9,DAY3SMART10,DAY4SMART0,DAY4SMART1,DAY4SMART2,DAY4SMART3,DAY4SMART4,DAY4SMART5,DAY4SMART6,DAY4SMART7,DAY4SMART8,DAY4SMART9,DAY4SMART10,DAY5SMART0,DAY5SMART1,DAY5SMART2,DAY5SMART3,DAY5SMART4,DAY5SMART5,DAY5SMART6,DAY5SMART7,DAY5SMART8,DAY5SMART9,DAY5SMART10,DAY6SMART0,DAY6SMART1,DAY6SMART2,DAY6SMART3,DAY6SMART4,DAY6SMART5,DAY6SMART6,DAY6SMART7,DAY6SMART8,DAY6SMART9,DAY6SMART10,DAY7SMART0,DAY7SMART1,DAY7SMART2,DAY7SMART3,DAY7SMART4,DAY7SMART5,DAY7SMART6,DAY7SMART7,DAY7SMART8,DAY7SMART9,DAY7SMART10,DAY8SMART0,DAY8SMART1,DAY8SMART2,DAY8SMART3,DAY8SMART4,DAY8SMART5,DAY8SMART6,DAY8SMART7,DAY8SMART8,DAY8SMART9,DAY8SMART10,DAY9SMART0,DAY9SMART1,DAY9SMART2,DAY9SMART3,DAY9SMART4,DAY9SMART5,DAY9SMART6,DAY9SMART7,DAY9SMART8,DAY9SMART9,DAY9SMART10,DAY10SMART0,DAY10SMART1,DAY10SMART2,DAY10SMART3,DAY10SMART4,DAY10SMART5,DAY10SMART6,DAY10SMART7,DAY10SMART8,DAY10SMART9,DAY10SMART10,DAY11SMART0,DAY11SMART1,DAY11SMART2,DAY11SMART3,DAY11SMART4,DAY11SMART5,DAY11SMART6,DAY11SMART7,DAY11SMART8,DAY11SMART9,DAY11SMART10,DAY12SMART0,DAY12SMART1,DAY12SMART2,DAY12SMART3,DAY12SMART4,DAY12SMART5,DAY12SMART6,DAY12SMART7,DAY12SMART8,DAY12SMART9,DAY12SMART10,DAY13SMART0,DAY13SMART1,DAY13SMART2,DAY13SMART3,DAY13SMART4,DAY13SMART5,DAY13SMART6,DAY13SMART7,DAY13SMART8,DAY13SMART9,DAY13SMART10,DAY14SMART0,DAY14SMART1,DAY14SMART2,DAY14SMART3,DAY14SMART4,DAY14SMART5,DAY14SMART6,DAY14SMART7,DAY14SMART8,DAY14SMART9,DAY14SMART10,DAY15SMART0,DAY15SMART1,DAY15SMART2,DAY15SMART3,DAY15SMART4,DAY15SMART5,DAY15SMART6,DAY15SMART7,DAY15SMART8,DAY15SMART9,DAY15SMART10,DAY16SMART0,DAY16SMART1,DAY16SMART2,DAY16SMART3,DAY16SMART4,DAY16SMART5,DAY16SMART6,DAY16SMART7,DAY16SMART8,DAY16SMART9,DAY16SMART10,DAY17SMART0,DAY17SMART1,DAY17SMART2,DAY17SMART3,DAY17SMART4,DAY17SMART5,DAY17SMART6,DAY17SMART7,DAY17SMART8,DAY17SMART9,DAY17SMART10,DAY18SMART0,DAY18SMART1,DAY18SMART2,DAY18SMART3,DAY18SMART4,DAY18SMART5,DAY18SMART6,DAY18SMART7,DAY18SMART8,DAY18SMART9,DAY18SMART10,DAY19SMART0,DAY19SMART1,DAY19SMART2,DAY19SMART3,DAY19SMART4,DAY19SMART5,DAY19SMART6,DAY19SMART7,DAY19SMART8,DAY19SMART9,DAY19SMART10
S300YCSY,1,117,96,87,27,100,100,75,12,25,100,100,119,96,87,27,100,100,75,12,25,100,100,113,96,87,27,100,100,74,12,26,100,100,115,96,87,27,100,100,73,12,27,100,100,117,96,87,27,100,100,73,12,27,100,100,114,96,87,27,100,100,73,12,27,100,100,117,96,87,27,100,100,74,12,26,100,100,115,96,87,27,100,100,74,12,26,100,100,116,96,87,27,100,100,74,12,26,100,100,109,96,87,27,100,100,74,12,26,100,100,117,96,87,27,100,100,74,12,26,100,100,109,96,87,27,100,100,73,12,27,100,100,114,96,87,27,100,100,74,12,26,100,100,117,96,87,27,100,100,72,12,28,100,100,114,96,87,27,100,100,73,12,27,100,100,108,96,87,27,100,100,73,12,27,100,100,120,96,87,27,100,100,74,12,26,100,100,119,96,87,27,100,100,73,12,27,100,100,117,96,87,27,100,100,73,12,27,100,100,114,96,87,27,100,100,73,12,27,100,100
S300YPJ9,1,117,93,86,31,95,1,82,79,18,99,99,110,93,86,31,95,1,82,79,18,99,99,119,93,86,31,95,1,82,79,18,99,99,117,93,86,31,95,1,82,79,18,99,99,116,93,86,31,95,1,82,79,18,99,99,111,93,86,31,95,1,82,79,18,99,99,115,93,86,31,95,1,82,79,18,99,99,113,93,86,31,95,1,82,79,18,99,99,119,93,86,31,95,1,81,79,19,99,99,118,93,86,31,95,1,82,79,18,99,99,117,93,86,31,95,1,82,79,18,99,99,103,93,86,31,95,1,82,79,18,99,99,111,93,86,31,95,1,82,79,18,99,99,119,93,85,31,95,1,82,79,18,99,99,117,93,85,31,95,1,82,79,18,99,99,117,93,85,31,95,1,82,79,18,99,99,117,93,85,31,95,1,82,79,18,99,99,118,93,85,31,95,1,81,79,19,100,100,114,93,85,31,95,1,82,79,18,100,100,112,93,85,31,95,1,81,79,19,100,100
S300YPQX,1,115,93,88,33,77,66,74,76,26,100,100,114,93,88,33,77,66,73,76,27,100,100,117,93,88,33,77,66,73,76,27,100,100,114,93,87,33,77,66,73,76,27,100,100,114,93,87,33,77,66,73,76,27,100,100,117,93,87,33,77,66,73,76,27,100,100,117,93,87,33,77,66,73,76,27,100,100,114,93,87,33,78,75,74,76,26,100,100,115,93,87,33,78,75,73,76,27,100,100,120,93,87,33,78,75,73,76,27,100,100,117,93,87,33,78,75,73,76,27,100,100,113,93,87,33,78,75,73,76,27,100,100,118,93,87,33,78,75,73,76,27,100,100,120,93,87,33,78,75,73,76,27,100,100,115,93,87,33,78,75,73,76,27,100,100,117,93,87,33,78,75,73,76,27,100,100,119,93,87,33,78,75,73,76,27,100,100,118,93,87,33,78,75,73,76,27,100,100,112,93,87,33,78,75,73,76,27,100,100,117,93,87,33,78,75,73,76,27,100,100
S300YPS2,1,117,94,88,29,100,65,80,80,20,100,100,113,94,88,29,100,65,79,80,21,100,100,118,94,88,29,100,65,79,80,21,100,100,117,94,88,29,100,65,79,80,21,100,100,119,94,88,30,100,65,79,80,21,100,100,119,94,88,30,100,65,79,80,21,100,100,112,94,88,30,100,65,79,80,21,100,100,119,94,88,30,100,65,79,80,21,100,100,118,94,88,30,100,65,80,80,20,100,100,116,94,88,30,100,65,80,80,20,100,100,109,94,88,30,100,65,79,80,21,100,100,117,94,88,30,100,65,79,80,21,100,100,120,94,88,30,100,65,79,80,21,100,100,113,94,88,30,100,65,80,80,20,100,100,118,94,88,30,100,65,80,80,20,100,100,118,94,88,30,100,65,80,80,20,100,100,119,94,88,30,100,65,80,80,20,100,100,117,94,88,30,100,65,79,80,21,100,100,118,94,88,30,100,65,79,80,21,100,100,108,94,88,30,100,65,79,80,21,100,100
S300YQDL,1,107,92,85,32,99,77,65,76,35,100,100,119,92,85,33,99,77,64,76,36,100,100,116,92,85,33,99,77,64,76,36,100,100,115,92,85,33,99,77,65,76,35,100,100,111,92,85,33,99,77,65,76,35,100,100,116,92,85,33,99,77,64,76,36,100,100,114,92,85,33,99,77,65,76,35,100,100,111,92,85,33,99,77,65,76,35,100,100,111,92,85,33,99,77,63,76,37,100,100,119,92,85,33,99,77,62,76,38,100,100,112,92,85,33,99,77,63,76,37,100,100,117,92,85,33,99,77,64,76,36,100,100,118,92,85,33,99,77,65,76,35,100,100,114,92,85,33,99,77,65,76,35,100,100,111,92,85,33,99,77,65,76,35,100,100,119,92,85,33,99,77,66,76,34,100,100,120,92,85,33,99,77,66,76,34,100,100,108,92,85,33,99,77,66,76,34,100,100,116,92,85,33,99,77,66,76,34,100,100,114,92,85,33,99,77,66,76,34,100,100
S300YQPC,1,116,92,85,33,98,79,75,75,25,100,100,118,92,85,33,98,79,75,75,25,100,100,114,92,85,33,98,79,76,75,24,100,100,111,92,85,33,98,79,75,75,25,100,100,116,92,85,33,98,79,76,75,24,100,100,111,92,85,33,98,79,76,75,24,100,100,119,92,85,33,98,79,76,75,24,100,100,117,92,85,33,98,79,76,75,24,100,100,108,92,85,33,98,79,76,75,24,100,100,114,92,84,33,98,79,75,75,25,100,100,115,92,84,33,98,79,75,75,25,100,100,120,92,84,33,98,79,75,75,25,100,100,118,92,84,33,98,79,76,75,24,100,100,118,92,84,33,98,79,76,75,24,100,100,117,92,84,33,98,79,76,75,24,100,100,108,92,84,33,98,79,76,75,24,100,100,117,92,84,33,98,79,76,75,24,100,100,114,92,84,33,98,79,76,75,24,100,100,114,92,84,33,98,79,77,75,23,100,100,117,92,84,33,98,79,76,75,24,100,100
S300YT9A,1,117,92,89,30,76,59,82,88,18,100,100,118,92,89,30,76,59,83,88,17,100,100,112,92,89,30,76,59,83,88,17,100,100,117,92,89,30,76,59,83,88,17,100,100,117,92,89,30,76,59,83,88,17,100,100,113,92,89,30,76,59,83,88,17,100,100,119,92,89,30,76,59,83,88,17,100,100,111,92,89,30,76,59,83,88,17,100,100,117,92,89,30,76,59,83,88,17,100,100,117,92,89,30,76,59,83,88,17,100,100,116,92,89,30,76,59,82,88,18,100,100,111,92,89,30,76,59,83,88,17,100,100,115,92,89,30,76,59,83,88,17,100,100,117,92,89,30,76,59,82,88,18,100,100,105,92,89,30,76,59,82,88,18,100,100,119,92,89,30,76,59,83,88,17,100,100,117,92,89,30,76,59,82,88,18,100,100,119,92,89,30,76,59,83,88,17,100,100,109,92,89,30,76,59,83,88,17,100,100,108,92,89,30,76,59,83,88,17,100,100
S300YTAN,1,112,93,88,27,97,1,79,81,21,100,100,114,93,88,27,97,1,80,81,20,100,100,118,93,88,27,97,1,79,81,21,100,100,117,93,88,27,97,1,79,81,21,100,100,120,93,88,27,97,1,79,81,21,100,100,117,93,88,27,97,1,79,81,21,100,100,117,93,88,27,97,1,80,81,20,100,100,117,93,88,27,97,1,79,81,21,100,100,114,93,88,27,97,1,79,81,21,100,100,117,93,88,27,97,1,79,81,21,100,100,118,93,88,27,97,1,79,81,21,100,100,119,93,88,27,97,1,79,81,21,100,100,114,93,88,27,97,1,79,81,21,100,100,103,93,88,27,97,1,79,81,21,100,100,114,93,88,27,97,1,79,81,21,100,100,117,93,88,27,97,1,79,81,21,100,100,102,93,88,27,97,1,80,81,20,100,100,102,93,88,27,97,1,78,81,22,99,99,105,93,88,27,97,1,75,81,25,99,99,110,93,88,27,98,52,79,81,21,100,100
S300Z12R,1,119,94,85,29,98,78,80,19,20,100,100,116,94,85,29,98,78,79,19,21,100,100,116,94,85,29,98,78,79,19,21,100,100,118,94,85,29,98,78,79,19,21,100,100,119,94,85,29,98,78,79,19,21,100,100,110,94,85,29,98,78,80,19,20,100,100,114,94,85,29,98,78,79,19,21,100,100,109,94,85,29,98,78,79,19,21,100,100,119,94,85,29,98,78,79,19,21,100,100,116,94,85,29,98,78,79,19,21,100,100,113,94,85,29,98,78,79,19,21,100,100,119,94,85,29,98,78,79,19,21,100,100,119,94,85,29,98,78,79,19,21,100,100,119,94,85,29,98,78,79,19,21,100,100,118,94,85,29,98,78,79,19,21,100,100,117,94,85,29,98,78,79,19,21,100,100,118,94,85,29,98,78,79,19,21,100,100,119,94,85,29,98,78,79,19,21,100,100,120,94,85,30,98,78,79,19,21,100,100,117,94,85,30,98,78,79,19,21,100,100
S300Z44A,1,118,92,86,30,99,77,70,75,30,100,100,117,92,86,30,99,77,70,75,30,100,100,116,92,86,30,99,77,70,75,30,100,100,117,92,86,30,99,77,70,75,30,100,100,116,92,86,30,99,77,70,75,30,100,100,117,92,86,30,99,77,71,75,29,100,100,119,92,86,30,99,77,70,75,30,100,100,111,92,86,30,99,77,70,75,30,100,100,116,92,86,30,99,77,70,75,30,100,100,119,92,86,30,99,77,70,75,30,100,100,105,92,86,30,99,77,69,75,31,100,100,112,92,86,30,99,77,70,75,30,100,100,115,92,86,31,99,77,70,75,30,100,100,119,92,86,31,99,77,70,75,30,100,100,117,92,86,31,99,77,70,75,30,100,100,111,92,86,31,99,77,70,75,30,100,100,115,92,86,31,99,77,70,75,30,100,100,111,92,86,31,99,77,70,75,30,100,100,120,92,86,31,99,77,70,75,30,100,100,118,92,86,31,99,77,70,75,30,100,100
S300Z46V,1,119,92,88,31,100,100,69,91,31,100,100,109,92,88,32,100,100,69,91,31,100,100,115,92,88,32,100,100,69,91,31,100,100,114,92,88,32,100,100,68,91,32,100,100,106,92,88,32,100,100,68,91,32,100,100,118,92,88,32,100,100,68,91,32,100,100,112,92,88,32,100,100,69,91,31,100,100,117,92,88,32,100,100,69,91,31,100,100,113,92,88,32,100,100,68,91,32,100,100,118,92,88,32,100,100,68,91,32,100,100,117,92,88,32,100,100,69,91,31,100,100,118,92,88,32,100,100,69,91,31,100,100,118,92,88,32,100,100,69,91,31,100,100,116,92,88,32,100,100,69,91,31,100,100,113,92,88,32,100,100,69,91,31,100,100,114,92,88,32,100,100,69,91,31,100,100,119,92,88,32,100,100,69,91,31,100,100,116,92,88,32,100,100,69,91,31,100,100,118,92,88,32,100,100,68,91,32,100,100,117,92,88,32,100,100,69,91,31,100,100
S300Z4B7,1,118,93,90,27,100,65,78,81,22,100,100,117,93,90,27,100,65,78,81,22,100,100,119,93,90,27,100,65,78,81,22,100,100,117,93,90,27,100,65,78,81,22,100,100,117,93,89,27,100,65,78,81,22,100,100,115,93,89,27,100,65,78,81,22,100,100,114,93,89,27,100,65,78,81,22,100,100,105,93,89,27,100,65,79,81,21,100,100,108,93,89,27,100,65,79,81,21,100,100,119,93,89,27,100,65,78,81,22,100,100,118,93,89,27,100,65,78,81,22,100,100,118,93,89,27,100,65,77,81,23,100,100,120,93,89,27,100,65,78,81,22,100,100,119,93,89,27,100,65,78,81,22,100,100,113,93,89,27,100,65,78,81,22,100,100,115,93,89,27,100,65,79,81,21,100,100,117,93,89,27,100,65,77,81,23,100,100,119,93,89,27,100,65,78,81,22,100,100,114,93,89,27,100,65,78,81,22,100,100,114,93,89,27,100,65,79,81,21,100,100
