PID,FAILURE,DAY0SMART0,DAY0SMART1,DAY0SMART2,DAY0SMART3,DAY0SMART4,DAY0SMART5,DAY0SMART6,DAY0SMART7,DAY0SMART8,DAY0SMART9,DAY0SMART10,DAY1SMART0,DAY1SMART1,DAY1SMART2,DAY1SMART3,DAY1SMART4,DAY1SMART5,DAY1SMART6,DAY1SMART7,DAY1SMART8,DAY1SMART9,DAY1SMART10,DAY2SMART0,DAY2SMART1,DAY2SMART2,DAY2SMART3,DAY2SMART4,DAY2SMART5,DAY2SMART6,DAY2SMART7,DAY2SMART8,DAY2SMART9,DAY2SMART10,DAY3SMART0,DAY3SMART1,DAY3SMART2,DAY3SMART3,DAY3SMART4,DAY3SMART5,DAY3SMART6,DAY3SMART7,DAY3SMART8,DAY3SMART9,DAY3SMART10,DAY4SMART0,DAY4SMART1,DAY4SMART2,DAY4SMART3,DAY4SMART4,DAY4SMART5,DAY4SMART6,DAY4SMART7,DAY4SMART8,DAY4SMART9,DAY4SMART10,DAY5SMART0,DAY5SMART1,DAY5SMART2,DAY5SMART3,DAY5SMART4,DAY5SMART5,DAY5SMART6,DAY5SMART7,DAY5SMART8,DAY5SMART9,DAY5SMART10,DAY6SMART0,DAY6SMART1,DAY6SMART2,DAY6SMART3,DAY6SMART4,DAY6SMART5,DAY6SMART6,DAY6SMART7,DAY6SMART8,DAY6SMART9,DAY6SMART10,DAY7SMART0,DAY7SMART1,DAY7SMART2,DAY7SMART3,DAY7SMART4,DAY7SMART5,DAY7SMART6,DAY7SMART7,DAY7SMART8,DAY7SMART9,DAY7SMART10,DAY8SMART0,DAY8SMART1,DAY8SMART2,DAY8SMART3,DAY8SMART4,DAY8SMART5,DAY8SMART6,DAY8SMART7,DAY8SMART8,DAY8SMART9,DAY8SMART10,DAY9SMART0,DAY9SMART1,DAY9SMART2,DAY9SMART3,DAY9SMART4,DAY9SMART5,DAY9SMART6,DAY9SMART7,DAY9SMART8,DAY9SMART9,DAY9SMART10,DAY10SMART0,DAY10SMART1,DAY10SMART2,DAY10SMART3,DAY10SMART4,DAY10SMART5,DAY10SMART6,DAY10SMART7,DAY10SMART8,DAY10SMART9,DAY10SMART10,DAY11SMART0,DAY11SMART1,DAY11SMART2,DAY11SMART3,DAY11SMART4,DAY11SMART5,DAY11SMART6,DAY11SMART7,DAY11SMART8,DAY11SMART9,DAY11SMART10,DAY12SMART0,DAY12SMART1,DAY12SMART2,DAY12SMART3,DAY12SMART4,DAY12SMART5,DAY12SMART6,DAY12SMART7,DAY12SMART8,DAY12SMART9,DAY12SMART10,DAY13SMART0,DAY13SMART1,DAY13SMART2,DAY13SMART3,DAY13SMART4,DAY13SMART5,DAY13SMART6,DAY13SMART7,DAY13SMART8,DAY13SMART9,DAY13SMART10,DAY14SMART0,DAY14SMART1,DAY14SMART2,DAY14SMART3,DAY14SMART4,DAY14SMART5,DAY14SMART6,DAY14SMART7,DAY14SMART8,DAY14SMART9,DAY14SMART10,DAY15SMART0,DAY15SMART1,DAY15SMART2,DAY15SMART3,DAY15SMART4,DAY15SMART5,DAY15SMART6,DAY15SMART7,DAY15SMART8,DAY15SMART9,DAY15SMART10,DAY16SMART0,DAY16SMART1,DAY16SMART2,DAY16SMART3,DAY16SMART4,DAY16SMART5,DAY16SMART6,DAY16SMART7,DAY16SMART8,DAY16SMART9,DAY16SMART10,DAY17SMART0,DAY17SMART1,DAY17SMART2,DAY17SMART3,DAY17SMART4,DAY17SMART5,DAY17SMART6,DAY17SMART7,DAY17SMART8,DAY17SMART9,DAY17SMART10,DAY18SMART0,DAY18SMART1,DAY18SMART2,DAY18SMART3,DAY18SMART4,DAY18SMART5,DAY18SMART6,DAY18SMART7,DAY18SMART8,DAY18SMART9,DAY18SMART10,DAY19SMART0,DAY19SMART1,DAY19SMART2,DAY19SMART3,DAY19SMART4,DAY19SMART5,DAY19SMART6,DAY19SMART7,DAY19SMART8,DAY19SMART9,DAY19SMART10
S300VKW9,1,118,91,86,33,100,50,67,76,33,100,100,103,91,86,33,100,50,66,76,34,100,100,114,91,86,33,100,50,66,76,34,100,100,117,91,86,33,100,50,67,76,33,100,100,120,91,86,33,100,50,67,76,33,100,100,114,91,86,33,100,50,67,76,33,100,100,111,91,86,33,100,50,66,76,34,100,100,109,91,86,33,100,53,66,76,34,100,100,118,91,86,33,100,53,67,76,33,100,100,117,91,86,34,100,53,66,76,34,100,100,113,91,86,34,100,53,67,76,33,100,100,113,91,86,34,100,53,67,76,33,100,100,118,91,86,34,100,53,67,76,33,100,100,119,91,86,34,100,53,67,76,33,100,100,117,91,86,34,100,53,67,76,33,100,100,114,91,86,34,100,53,67,76,33,100,100,104,91,86,34,100,53,67,76,33,100,100,114,91,86,34,100,53,67,76,33,100,100,119,91,86,34,100,53,67,76,33,100,100,116,91,86,34,100,53,67,76,33,100,100
S300VLDW,1,117,92,85,33,100,75,67,76,33,100,100,120,92,85,33,100,75,67,76,33,100,100,111,92,85,33,100,75,67,76,33,100,100,114,92,85,33,100,75,67,76,33,100,100,115,92,85,33,100,75,67,76,33,100,100,115,92,85,33,100,75,67,76,33,100,100,117,92,85,33,100,75,67,76,33,100,100,114,92,85,33,100,75,67,76,33,100,100,110,92,85,33,100,75,67,76,33,100,100,114,92,85,34,100,75,67,76,33,100,100,120,92,85,34,100,75,67,76,33,100,100,102,92,85,34,100,75,68,76,32,100,100,120,92,85,34,100,75,68,76,32,100,100,114,92,85,34,100,75,68,76,32,100,100,119,92,85,34,100,75,67,76,33,100,100,119,92,85,34,100,75,68,76,32,100,100,117,92,85,34,100,75,67,76,33,100,100,116,92,85,34,100,75,68,76,32,100,100,119,92,85,34,100,75,68,76,32,100,100,118,92,84,34,100,75,68,76,32,100,100
S300WCSA,1,120,97,89,27,100,75,72,77,28,100,100,114,97,89,27,100,75,72,77,28,100,100,117,97,89,27,100,75,72,77,28,100,100,117,97,89,27,100,75,71,77,29,100,100,117,97,89,27,100,75,71,77,29,100,100,117,97,89,27,100,75,71,77,29,100,100,119,97,89,27,100,75,72,77,28,100,100,115,97,89,27,100,75,71,77,29,100,100,108,97,89,27,100,75,71,77,29,100,100,117,97,89,27,100,75,72,77,28,100,100,119,97,89,27,100,75,72,77,28,100,100,118,97,89,27,100,75,72,77,28,100,100,117,97,89,27,100,75,72,77,28,100,100,113,97,89,27,100,75,71,77,29,100,100,114,97,89,27,100,75,72,77,28,100,100,119,97,89,27,100,75,72,77,28,100,100,119,97,89,27,100,75,72,77,28,100,100,118,97,89,27,100,75,72,77,28,100,100,111,97,88,27,100,75,72,77,28,100,100,116,97,88,27,100,75,73,77,27,100,100
S300WDBV,1,114,92,88,28,99,43,67,77,33,100,100,115,92,88,28,99,43,67,77,33,100,100,111,92,88,28,99,43,67,77,33,100,100,117,92,88,28,99,43,67,77,33,100,100,117,92,88,28,99,43,67,77,33,100,100,120,92,88,28,99,43,67,77,33,100,100,111,92,88,28,99,43,67,77,33,100,100,111,92,88,28,99,43,66,77,34,100,100,115,92,88,28,99,43,67,77,33,100,100,118,92,88,28,99,43,66,77,34,100,100,114,92,88,28,99,43,66,77,34,100,100,114,92,88,28,99,43,66,77,34,100,100,116,92,88,28,99,43,66,77,34,100,100,111,92,88,28,99,43,66,77,34,100,100,111,92,88,28,99,43,66,77,34,100,100,105,92,88,28,99,43,66,77,34,100,100,115,92,88,28,99,43,66,77,34,100,100,118,92,88,28,99,43,66,77,34,100,100,112,92,88,28,99,43,66,77,34,100,100,120,92,88,28,99,43,66,77,34,100,100
S300WDT1,1,117,93,88,32,100,100,74,81,26,100,100,118,93,88,32,100,100,74,81,26,100,100,116,93,88,32,100,100,74,81,26,100,100,118,93,88,32,100,100,74,81,26,100,100,116,93,87,32,100,100,74,81,26,100,100,119,93,87,32,100,100,74,81,26,100,100,106,93,87,32,100,100,74,81,26,100,100,111,93,87,32,100,100,74,81,26,100,100,110,93,87,32,100,100,74,81,26,100,100,104,93,87,32,100,100,74,81,26,100,100,120,93,87,32,100,100,74,81,26,100,100,118,93,87,32,100,100,74,81,26,100,100,106,93,87,32,100,100,74,81,26,100,100,117,93,87,32,100,100,74,81,26,100,100,112,93,87,32,100,100,74,81,26,100,100,119,93,87,32,100,100,74,81,26,100,100,117,93,87,33,100,100,74,81,26,100,100,112,93,87,33,100,100,74,81,26,100,100,118,93,87,33,100,100,74,81,26,100,100,114,93,87,33,100,100,74,81,26,100,100
S300WQBL,1,117,92,83,31,95,1,79,36,21,96,96,101,92,83,31,95,1,80,36,20,96,96,101,92,83,31,95,1,80,36,20,96,96,117,92,83,31,95,1,79,36,21,96,96,112,92,83,31,95,1,80,36,20,96,96,112,92,83,31,95,1,80,36,20,96,96,113,92,83,31,95,1,80,36,20,96,96,105,92,83,31,95,4,80,36,20,96,96,105,92,83,31,95,4,80,36,20,96,96,105,92,83,31,95,4,80,36,20,96,96,105,92,83,31,95,4,80,36,20,96,96,105,92,83,31,95,4,80,37,20,96,96,105,92,83,31,95,4,80,37,20,96,96,102,92,83,31,95,9,80,37,20,96,96,102,92,83,31,95,9,80,37,20,96,96,102,92,83,31,95,9,80,37,20,96,96,102,92,83,31,95,9,80,37,20,96,96,102,92,83,31,95,9,80,37,20,96,96,102,92,83,31,95,9,80,37,20,96,96,102,92,83,31,95,9,80,37,20,96,96
S300WS3F,1,118,92,86,27,100,100,69,77,31,100,100,100,92,86,27,100,100,69,77,31,100,100,119,92,86,27,100,100,69,77,31,100,100,117,92,86,27,100,100,69,77,31,100,100,111,92,86,27,100,100,69,77,31,100,100,115,92,86,27,100,100,69,77,31,100,100,114,92,86,27,100,100,69,77,31,100,100,118,92,86,27,100,100,69,77,31,100,100,118,92,86,27,100,100,69,77,31,100,100,118,92,86,27,100,100,69,77,31,100,100,111,92,86,27,100,100,69,77,31,100,100,119,92,86,27,100,100,68,77,32,100,100,118,92,86,27,100,100,69,77,31,100,100,117,92,86,27,100,100,69,77,31,100,100,111,92,86,27,100,100,69,77,31,100,100,118,92,86,27,100,100,69,77,31,100,100,116,92,86,27,100,100,69,77,31,100,100,117,92,86,27,100,100,68,77,32,100,100,117,92,86,27,100,100,68,77,32,100,100,116,92,86,27,100,100,68,77,32,100,100
S300XAAX,1,114,92,88,29,97,64,69,90,31,100,100,118,92,88,29,97,64,69,90,31,100,100,114,92,88,29,97,64,68,90,32,100,100,117,92,88,29,97,64,69,90,31,100,100,120,92,88,29,97,64,69,90,31,100,100,118,92,88,29,97,64,69,90,31,100,100,119,92,88,29,97,64,69,90,31,100,100,118,92,88,29,97,64,69,90,31,100,100,120,92,88,29,97,64,69,90,31,100,100,117,92,88,29,97,64,67,90,33,100,100,119,92,88,29,97,64,69,90,31,100,100,118,92,88,29,97,64,68,90,32,100,100,114,92,88,29,97,64,68,90,32,100,100,105,92,88,29,97,64,68,90,32,100,100,117,92,88,29,97,64,68,90,32,100,100,119,92,88,29,97,64,68,90,32,100,100,114,92,88,29,97,64,68,90,32,100,100,102,92,88,29,97,64,69,90,31,100,100,115,92,88,29,97,64,69,90,31,100,100,119,92,88,29,97,64,68,90,32,100,100
S300XAWB,1,120,92,87,28,99,51,79,44,21,100,100,109,92,87,28,99,51,79,44,21,100,100,118,92,87,28,99,51,78,44,22,100,100,116,92,87,28,99,51,78,44,22,100,100,114,92,87,28,99,51,78,44,22,100,100,119,92,87,28,99,51,78,44,22,100,100,120,92,87,28,99,51,78,44,22,100,100,112,92,87,28,99,51,78,44,22,100,100,120,92,87,28,99,51,78,44,22,100,100,119,92,87,28,99,51,78,44,22,100,100,120,92,87,28,99,51,78,44,22,100,100,117,92,87,28,99,51,78,44,22,100,100,116,92,87,28,99,51,78,44,22,100,100,100,92,87,28,99,51,78,44,22,100,100,119,92,87,28,99,51,78,44,22,100,100,115,92,87,28,99,51,78,44,22,100,100,117,92,87,28,99,51,78,44,22,100,100,116,92,87,28,99,51,78,44,22,100,100,115,92,87,29,99,51,78,44,22,100,100,116,92,87,29,99,51,78,44,22,100,100
S300XKE8,1,112,92,90,29,98,19,48,80,52,100,100,117,92,90,29,98,19,48,80,52,100,100,117,92,90,29,98,19,49,80,51,100,100,119,92,90,29,98,22,49,80,51,100,100,117,92,90,29,98,25,49,80,51,100,100,109,92,90,29,98,25,49,80,51,100,100,109,92,90,29,98,25,49,80,51,100,100,111,92,89,29,98,25,49,80,51,100,100,108,92,89,29,98,28,50,80,50,100,100,119,92,89,29,98,28,50,80,50,100,100,120,92,89,29,98,31,49,80,51,100,100,117,92,89,29,98,31,49,80,51,100,100,120,92,89,29,98,31,50,80,50,100,100,114,92,89,30,98,34,49,80,51,100,100,113,92,89,30,98,34,50,80,50,100,100,118,92,89,30,99,68,50,80,50,100,100,117,92,89,30,99,68,50,80,50,100,100,117,92,89,30,99,68,50,80,50,100,100,117,92,89,30,99,68,50,80,50,100,100,120,92,89,30,99,68,51,80,49,100,100
